entity,code,year,renewables
Albania,ALB,2019,1802.439331
Austria,AUT,2019,4597.550781
Belgium,BEL,2019,26.23675728
Bosnia and Herzegovina,BIH,2019,1815.088257
Bulgaria,BGR,2019,420.5295715
Croatia,HRV,2019,1410.763672
Czechia,CZE,2019,190.5688019
Finland,FIN,2019,2240.445557
France,FRA,2019,869.9987793
Germany,DEU,2019,237.2993622
Greece,GRC,2019,376.168457
Hungary,HUN,2019,22.41143036
Ireland,IRL,2019,181.0822906
Italy,ITA,2019,789.4931641
Kosovo,OWID_KOS,2019,124.491951
Latvia,LVA,2019,1099.65918
Lithuania,LTU,2019,121.231987
Montenegro,MNE,2019,2585.647705
North Macedonia,MKD,2019,550.4151611
Poland,POL,2019,50.76168442
Romania,ROU,2019,798.0307007
Serbia,SRB,2019,1278.195923
Slovakia,SVK,2019,798.6897583
Slovenia,SVN,2019,2120.017578
Spain,ESP,2019,477.0935974
Sweden,SWE,2019,6350.554688
Switzerland,CHE,2019,4388.497559
United Kingdom,GBR,2019,87.54743195
